영어과 | 25: 4.83 | 24: 5.93
일어일문학과 | 25: 3.4 | 24: 5.43
중국학과 | 25: nan | 24: 5.63
보건행정학과 | 25: 3.87 | 24: 3.33
뷰티보건학과 | 25: 3.97 | 24: 4.93
스포츠건강관리학과 | 25: 5.7 | 24: 3.8
치위생학과 | 25: 3 | 24: 3.33
물리치료학과 | 25: 2.53 | 24: 1.97
간호학과 | 25: 2.3 | 24: 2.43
임상병리학과 | 25: 2.53 | 24: 3.33
응급구조학과 | 25: 3.37 | 24: 3.07
아동복지학과 | 25: 4.47 | 24: 4.2
사회복지학과 | 25: nan | 24: nan
휴먼케어학과 | 25: nan | 24: 5.1
일부 모집단위(요강 확인) | 25: nan | 24: nan
지능정보통신공학과 | 25: nan | 24: nan
컴퓨터소프트웨어학과 | 25: nan | 24: nan
멀티미디어학과 | 25: nan | 24: nan
전자공학과 | 25: nan | 24: nan
건축학과(5년제) | 25: nan | 24: nan
건축공학과 | 25: nan | 24: nan
빅데이터경영공학과 | 25: nan | 24: nan
드론공간정보공학과 | 25: nan | 24: nan
스마트팜학과 | 25: nan | 24: nan
유통마케팅학과 | 25: nan | 24: nan
글로벌무역학과 | 25: nan | 24: nan
경영학과 | 25: nan | 24: nan
세무학과 | 25: nan | 24: nan
간호학과 | 25: nan | 24: nan
시각미디어디자인학과 | 25: nan | 24: nan
공간조형디자인학과 | 25: nan | 24: nan
영상예술디자인학과 | 25: nan | 24: nan
스포츠비즈니스학과 | 25: 8.5 | 24: nan
스포츠건강관리학과 | 25: 8.5 | 24: nan
치위생학과 | 25: 6.25 | 24: nan
물리치료학과 | 25: 17.25 | 24: nan
간호학과 | 25: 20.75 | 24: nan
임상병리학과 | 25: 5.5 | 24: nan
응급구조학과 | 25: 6.6 | 24: nan
가상현실학과 | 25: 2.17 | 24: nan
지능정보통신공학과 | 25: 1.83 | 24: nan
컴퓨터소프트웨어학과 | 25: 4.88 | 24: nan
멀티미디어학과 | 25: 3 | 24: nan
전자공학과 | 25: 2.17 | 24: nan
건축학과(5년제) | 25: 8.2 | 24: nan
건축공학과 | 25: 3.17 | 24: nan
빅데이터경영공학과 | 25: 2.2 | 24: nan
드론공간정보공학과 | 25: 2.29 | 24: nan
스마트팜학과 | 25: 3.4 | 24: nan
유통마케팅학과 | 25: 3.67 | 24: nan
글로벌무역학과 | 25: 2.67 | 24: nan
경영학과 | 25: 3 | 24: nan
광고홍보학과 | 25: 4.86 | 24: nan
호텔경영학과 | 25: 3.67 | 24: nan
관광경영학과 | 25: 3.33 | 24: nan
세무학과 | 25: 2.5 | 24: nan
부동산학과 | 25: 3.5 | 24: nan
영어과 | 25: 2.5 | 24: nan
일어일문학과 | 25: 7.67 | 24: nan
중국학과 | 25: 3 | 24: nan
보건행정학과 | 25: 3.5 | 24: nan
뷰티보건학과 | 25: 9.67 | 24: nan
아동복지학과 | 25: 3.43 | 24: nan
사회복지학과 | 25: 5.29 | 24: nan
휴먼케어학과 | 25: 3.33 | 24: nan
